normalized	headword	source	sourceUrl
& CO	& Co	kuwiktionary	https://ku.wiktionary.org/wiki/&_Co
'	'	kuwiktionary	https://ku.wiktionary.org/wiki/'
'ABD	'abd	kuwiktionary	https://ku.wiktionary.org/wiki/'abd
'ABDILA	'Abdila	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdila
'ABDILAH	'Abdilah	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdilah
'ABDILE	'Abdile	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdile
'ABDILEH	'Abdileh	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdileh
'ABDILLA	'Abdilla	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdilla
'ABDILLAH	'Abdillah	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdillah
'ABDILLEH	'Abdilleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdilleh
'ABDULA	'Abdula	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdula
'ABDULAH	'Abdulah	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdulah
'ABDULE	'Abdule	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdule
'ABDULEH	'Abduleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Abduleh
'ABDULLA	'Abdulla	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdulla
'ABDULLAH	'Abdullah	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdullah
'ABDULLEH	'Abdulleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Abdulleh
'AQILDAR	'aqildar	kuwiktionary	https://ku.wiktionary.org/wiki/'aqildar
'AQILDÊR	'aqildêr	kuwiktionary	https://ku.wiktionary.org/wiki/'aqildêr
'ARIDE	'aride	kuwiktionary	https://ku.wiktionary.org/wiki/'aride
'AVDILA	'Avdila	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdila
'AVDILAH	'Avdilah	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdilah
'AVDILEH	'Avdileh	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdileh
'AVDILLA	'Avdilla	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdilla
'AVDILLAH	'Avdillah	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdillah
'AVDILLEH	'Avdilleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdilleh
'AVDULA	'Avdula	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdula
'AVDULAH	'Avdulah	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdulah
'AVDULE	'Avdule	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdule
'AVDULEH	'Avduleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Avduleh
'AVDULLA	'Avdulla	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdulla
'AVDULLAH	'Avdullah	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdullah
'AVDULLEH	'Avdulleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Avdulleh
'EBDILA	'Ebdila	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdila
'EBDILAH	'Ebdilah	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdilah
'EBDILE	'Ebdile	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdile
'EBDILEH	'Ebdileh	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdileh
'EBDILLA	'Ebdilla	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdilla
'EBDILLEH	'Ebdilleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdilleh
'EBDULA	'Ebdula	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdula
'EBDULAH	'Ebdulah	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdulah
'EBDULE	'Ebdule	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdule
'EBDULEH	'Ebduleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebduleh
'EBDULLA	'Ebdulla	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdulla
'EBDULLAH	'Ebdullah	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdullah
'EBDULLEH	'Ebdulleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Ebdulleh
'ELILANDÎN	'elilandîn	kuwiktionary	https://ku.wiktionary.org/wiki/'elilandîn
'EMD	'emd	kuwiktionary	https://ku.wiktionary.org/wiki/'emd
'EMÎQ	'emîq	kuwiktionary	https://ku.wiktionary.org/wiki/'emîq
'ENBERAMÎZ	'enberamîz	kuwiktionary	https://ku.wiktionary.org/wiki/'enberamîz
'EQILDAR	'eqildar	kuwiktionary	https://ku.wiktionary.org/wiki/'eqildar
'EQILDÊR	'eqildêr	kuwiktionary	https://ku.wiktionary.org/wiki/'eqildêr
'EQLDAR	'eqldar	kuwiktionary	https://ku.wiktionary.org/wiki/'eqldar
'EQLDÊR	'eqldêr	kuwiktionary	https://ku.wiktionary.org/wiki/'eqldêr
'ERDIHALA	'erdihala	kuwiktionary	https://ku.wiktionary.org/wiki/'erdihala
'EVD	'evd	kuwiktionary	https://ku.wiktionary.org/wiki/'evd
'EVDILA	'Evdila	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdila
'EVDILAH	'Evdilah	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdilah
'EVDILE	'Evdile	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdile
'EVDILEH	'Evdileh	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdileh
'EVDILLA	'Evdilla	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdilla
'EVDILLAH	'Evdillah	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdillah
'EVDILLEH	'Evdilleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdilleh
'EVDULA	'Evdula	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdula
'EVDULAH	'Evdulah	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdulah
'EVDULE	'Evdule	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdule
'EVDULEH	'Evduleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Evduleh
'EVDULLA	'Evdulla	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdulla
'EVDULLAH	'Evdullah	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdullah
'EVDULLEH	'Evdulleh	kuwiktionary	https://ku.wiktionary.org/wiki/'Evdulleh
'EZÎZ	'Ezîz	kuwiktionary	https://ku.wiktionary.org/wiki/'Ezîz
'IMAN	'Iman	kuwiktionary	https://ku.wiktionary.org/wiki/'Iman
'UBAB	'ubab	kuwiktionary	https://ku.wiktionary.org/wiki/'ubab
'UCAC	'ucac	kuwiktionary	https://ku.wiktionary.org/wiki/'ucac
'UMAN	'Uman	kuwiktionary	https://ku.wiktionary.org/wiki/'Uman
'UQAB	'uqab	kuwiktionary	https://ku.wiktionary.org/wiki/'uqab
'URWET	'urwet	kuwiktionary	https://ku.wiktionary.org/wiki/'urwet
'UZZA	'uzza	kuwiktionary	https://ku.wiktionary.org/wiki/'uzza
(BIRÎNA FILAN KESÎ/Ê) KÊLIK XUYÊ HERÊYÎ (TÊKEVE) TÊRÊ NAKE	(birîna filan kesî/ê) kêlik xuyê herêyî (têkeve) têrê nake	kuwiktionary	https://ku.wiktionary.org/wiki/(birîna_filan_kesî/ê)_kêlik_xuyê_herêyî_(têkeve)_têrê_nake
(YEKÎ) JI YA XWE NAYÊ XWARÊ	(yekî) ji ya xwe nayê xwarê	kuwiktionary	https://ku.wiktionary.org/wiki/(yekî)_ji_ya_xwe_nayê_xwarê
-A	-a	kuwiktionary	https://ku.wiktionary.org/wiki/-a
-A-	-a-	kuwiktionary	https://ku.wiktionary.org/wiki/-a-
-ABAD	-abad	kuwiktionary	https://ku.wiktionary.org/wiki/-abad
-AHÎ	-ahî	kuwiktionary	https://ku.wiktionary.org/wiki/-ahî
-AK	-ak	kuwiktionary	https://ku.wiktionary.org/wiki/-ak
-AL	-al	kuwiktionary	https://ku.wiktionary.org/wiki/-al
-ALÎ	-alî	kuwiktionary	https://ku.wiktionary.org/wiki/-alî
-AM	-am	kuwiktionary	https://ku.wiktionary.org/wiki/-am
-ANDIN	-andin	kuwiktionary	https://ku.wiktionary.org/wiki/-andin
-AR	-ar	kuwiktionary	https://ku.wiktionary.org/wiki/-ar
-ARTIN	-artin	kuwiktionary	https://ku.wiktionary.org/wiki/-artin
-ARÎ	-arî	kuwiktionary	https://ku.wiktionary.org/wiki/-arî
-ASTIN	-astin	kuwiktionary	https://ku.wiktionary.org/wiki/-astin
-ASÎ	-asî	kuwiktionary	https://ku.wiktionary.org/wiki/-asî
-ATÎ	-atî	kuwiktionary	https://ku.wiktionary.org/wiki/-atî
-AVA	-ava	kuwiktionary	https://ku.wiktionary.org/wiki/-ava
-AVÊJ	-avêj	kuwiktionary	https://ku.wiktionary.org/wiki/-avêj
-AVÊJ-	-avêj-	kuwiktionary	https://ku.wiktionary.org/wiki/-avêj-
-AWER	-awer	kuwiktionary	https://ku.wiktionary.org/wiki/-awer
-AWERÎ	-awerî	kuwiktionary	https://ku.wiktionary.org/wiki/-awerî
-AYÎ	-ayî	kuwiktionary	https://ku.wiktionary.org/wiki/-ayî
-BAHÎ	-bahî	kuwiktionary	https://ku.wiktionary.org/wiki/-bahî
-BANÎ	-banî	kuwiktionary	https://ku.wiktionary.org/wiki/-banî
-BANÎTÎ	-banîtî	kuwiktionary	https://ku.wiktionary.org/wiki/-banîtî
-BAR	-bar	kuwiktionary	https://ku.wiktionary.org/wiki/-bar
-BAR-	-bar-	kuwiktionary	https://ku.wiktionary.org/wiki/-bar-
-BARÎ	-barî	kuwiktionary	https://ku.wiktionary.org/wiki/-barî
-BAZ	-baz	kuwiktionary	https://ku.wiktionary.org/wiki/-baz
-BAZÎ	-bazî	kuwiktionary	https://ku.wiktionary.org/wiki/-bazî
-BAŞÎ	-başî	kuwiktionary	https://ku.wiktionary.org/wiki/-başî
-BE-	-be-	kuwiktionary	https://ku.wiktionary.org/wiki/-be-
-BEND	-bend	kuwiktionary	https://ku.wiktionary.org/wiki/-bend
-BENDÎ	-bendî	kuwiktionary	https://ku.wiktionary.org/wiki/-bendî
-BER	-ber	kuwiktionary	https://ku.wiktionary.org/wiki/-ber
-BERÎ	-berî	kuwiktionary	https://ku.wiktionary.org/wiki/-berî
-BIR	-bir	kuwiktionary	https://ku.wiktionary.org/wiki/-bir
-BÊJ	-bêj	kuwiktionary	https://ku.wiktionary.org/wiki/-bêj
-BÊJ-	-bêj-	kuwiktionary	https://ku.wiktionary.org/wiki/-bêj-
-BÊJÎ	-bêjî	kuwiktionary	https://ku.wiktionary.org/wiki/-bêjî
-BÎ	-bî	kuwiktionary	https://ku.wiktionary.org/wiki/-bî
-BÎN	-bîn	kuwiktionary	https://ku.wiktionary.org/wiki/-bîn
-BÎN-	-bîn-	kuwiktionary	https://ku.wiktionary.org/wiki/-bîn-
-BÎNÎ	-bînî	kuwiktionary	https://ku.wiktionary.org/wiki/-bînî
-BÛ-	-bû-	kuwiktionary	https://ku.wiktionary.org/wiki/-bû-
-DANER	-daner	kuwiktionary	https://ku.wiktionary.org/wiki/-daner
-DANK	-dank	kuwiktionary	https://ku.wiktionary.org/wiki/-dank
-DAR	-dar	kuwiktionary	https://ku.wiktionary.org/wiki/-dar
-DARÎ	-darî	kuwiktionary	https://ku.wiktionary.org/wiki/-darî
-DAV	-dav	kuwiktionary	https://ku.wiktionary.org/wiki/-dav
-DAX	-dax	kuwiktionary	https://ku.wiktionary.org/wiki/-dax
-DAXÎ	-daxî	kuwiktionary	https://ku.wiktionary.org/wiki/-daxî
-DE	-de	kuwiktionary	https://ku.wiktionary.org/wiki/-de
-DER	-der	kuwiktionary	https://ku.wiktionary.org/wiki/-der
-DOST	-dost	kuwiktionary	https://ku.wiktionary.org/wiki/-dost
-DOSTÎ	-dostî	kuwiktionary	https://ku.wiktionary.org/wiki/-dostî
-DÊR	-dêr	kuwiktionary	https://ku.wiktionary.org/wiki/-dêr
-E	-e	kuwiktionary	https://ku.wiktionary.org/wiki/-e
-E-	-e-	kuwiktionary	https://ku.wiktionary.org/wiki/-e-
-EK	-ek	kuwiktionary	https://ku.wiktionary.org/wiki/-ek
-EL	-el	kuwiktionary	https://ku.wiktionary.org/wiki/-el
-EMENÎ	-emenî	kuwiktionary	https://ku.wiktionary.org/wiki/-emenî
-EN	-en	kuwiktionary	https://ku.wiktionary.org/wiki/-en
-ENDIN	-endin	kuwiktionary	https://ku.wiktionary.org/wiki/-endin
-ENG	-eng	kuwiktionary	https://ku.wiktionary.org/wiki/-eng
-EVE	-eve	kuwiktionary	https://ku.wiktionary.org/wiki/-eve
-EWA	-ewa	kuwiktionary	https://ku.wiktionary.org/wiki/-ewa
-EWÎ	-ewî	kuwiktionary	https://ku.wiktionary.org/wiki/-ewî
-FIROŞ	-firoş	kuwiktionary	https://ku.wiktionary.org/wiki/-firoş
-FIROŞÎ	-firoşî	kuwiktionary	https://ku.wiktionary.org/wiki/-firoşî
-GAR	-gar	kuwiktionary	https://ku.wiktionary.org/wiki/-gar
-GARÎ	-garî	kuwiktionary	https://ku.wiktionary.org/wiki/-garî
-GER	-ger	kuwiktionary	https://ku.wiktionary.org/wiki/-ger
-GIR	-gir	kuwiktionary	https://ku.wiktionary.org/wiki/-gir
-GIRÎ	-girî	kuwiktionary	https://ku.wiktionary.org/wiki/-girî
-GO	-go	kuwiktionary	https://ku.wiktionary.org/wiki/-go
-GOYÎ	-goyî	kuwiktionary	https://ku.wiktionary.org/wiki/-goyî
-GÊR	-gêr	kuwiktionary	https://ku.wiktionary.org/wiki/-gêr
-GÊRÎ	-gêrî	kuwiktionary	https://ku.wiktionary.org/wiki/-gêrî
-GÎN	-gîn	kuwiktionary	https://ku.wiktionary.org/wiki/-gîn
-GÎNÎ	-gînî	kuwiktionary	https://ku.wiktionary.org/wiki/-gînî
-HEZ	-hez	kuwiktionary	https://ku.wiktionary.org/wiki/-hez
-HEZÎ	-hezî	kuwiktionary	https://ku.wiktionary.org/wiki/-hezî
-HÊ-	-hê-	kuwiktionary	https://ku.wiktionary.org/wiki/-hê-
-HÎ	-hî	kuwiktionary	https://ku.wiktionary.org/wiki/-hî
-HÎN	-hîn	kuwiktionary	https://ku.wiktionary.org/wiki/-hîn
-I	-i	kuwiktionary	https://ku.wiktionary.org/wiki/-i
-I-	-i-	kuwiktionary	https://ku.wiktionary.org/wiki/-i-
-IJ	-ij	kuwiktionary	https://ku.wiktionary.org/wiki/-ij
-IJANDIN	-ijandin	kuwiktionary	https://ku.wiktionary.org/wiki/-ijandin
-IJÎN	-ijîn	kuwiktionary	https://ku.wiktionary.org/wiki/-ijîn
-IK	-ik	kuwiktionary	https://ku.wiktionary.org/wiki/-ik
-IL	-il	kuwiktionary	https://ku.wiktionary.org/wiki/-il
-IN	-in	kuwiktionary	https://ku.wiktionary.org/wiki/-in
-INDE	-inde	kuwiktionary	https://ku.wiktionary.org/wiki/-inde
-ING	-ing	kuwiktionary	https://ku.wiktionary.org/wiki/-ing
-INO	-ino	kuwiktionary	https://ku.wiktionary.org/wiki/-ino
-INÎ	-inî	kuwiktionary	https://ku.wiktionary.org/wiki/-inî
-ISTAN	-istan	kuwiktionary	https://ku.wiktionary.org/wiki/-istan
-IT	-it	kuwiktionary	https://ku.wiktionary.org/wiki/-it
